scarf шарф
surprisingly дивно
boyfriend хлопець
upset засмучений
invent винаходити
trading торгівля
counsel адвокат
compound з'єднання
serving порція
pleased задоволений
slam хлюпати
essence сутність
pitcher глечик
pig свиня
reverse зворотний
roman римський
tip порада
van фургон
swallow проковтнути
enforce примусове виконання
frankly чесно кажучи
monster монстр
integration інтеграція
ownership власність
forgive пробачай
prosecution судове переслідування
medium середній
wrist зап'ястя
walking ходити
ideology ідеологія
chronic хронічний
pad майданчик
colony колонія
particle частинка
alarm тривога
research дослідження
rhetoric риторика
pause пауза
matter матерія
corruption корупція
behavioral поведінкові
suspicion підозри
pleasant приємний
theoretical теоретичний
hook гачок
altogether взагалі
invisible невидимий
exhibit експонат
carbohydrate вуглеводів
magic магія
opera опера
giant гігант
elevator ліфт
fist кулак
thereby тим самим
practically практично
realm царство
accounting бухгалтерський облік
worry турбуватися
diplomatic дипломатичний
confess зізнатися
prevention профілактика
civic громадянський
angel ангел
prohibit забороняти
outstanding видатний
tide приплив
cook готувати
trap пастка
coastal прибережні
way шлях
dutch голландський
bid ставка
shock шок
diabetes діабет
ours наш
buddy приятель
dilemma дилема
stadium стадіон
condemn засудити
courtroom зал суду
productivity продуктивність
combined об'єднаний
orbit орбіта
rent оренда
sheer чистий
clip кліп
empire імперія
web веб
draft чернетка
verdict вердикт
puzzle головоломка
utilize використовувати
near близько
ambition честолюбство
metropolitan митрополит
helmet шолом
minimal мінімальний
flexibility гнучкість
experienced досвідчений
upset засмучений
supplier постачальник
associate асоційований
fever лихоманка
dried висушений
comprise містять
unprecedented безпрецедентний
counter лічильник
banker банкір
speculation спекуляції
swimming плавання
someday коли-небудь
ideal ідеальний
cease припинити
dot крапка
marketplace ринок
planner планувальник
invade вторгнутися
ambassador посол
likewise так само
publicity реклама
builder будівельник
artifact артефакт
rib ребро
ash зола
halfway на півдорозі
carrot морква
blink блимати
rain дощ
peanut арахіс
comply дотримуватися
awake прокинься
butt прикладом
liver печінка
banana банан
plain рівнина
brutal жорстокий
soar парити
unhappy нещасний
routinely звичайно
objection заперечення
rental прокат
suitable придатний
regard вважають
fare вартість проїзду
leave залишати
broadcast транслювати
spark іскри
substantially істотно
surveillance спостереження
soak замочити
within в межах
brave хоробрий
dense щільний
sudden раптовий
economically економічно
weave переплетення
skilled кваліфікований
fog туман
butterfly метелик
dictate диктувати
pistol пістолет
tribute данина
skeptical скептично
lift ліфт
challenging складний
exit вхід
authentic автентичний
autumn осінь
pal приятель
sailor матрос
center центр
viable життєздатний
ninth дев'ятий
bang вибух
knot вузол
prosecute переслідувати
fake фальшивка
capitalism капіталізм
disagreement розбіжності
lesser менш
affection любов
breakdown зламатися
healing зцілення
trillion трильйон
addiction наркоманія
snack закуски
imagery образи
hierarchy ієрархія
litigation судовий процес
part-time неповний робочий день
tremble тремтить
abruptly різко
diameter діаметр
fan вентилятор
exile заслання
endangered під загрозою зникнення
notable помітний
export експорт
odor запах
hut хата
choir хор
underground під землею
bead бісер
sweat піт
guess здогадатися
graphic графічний
nazi нацистський
optimism оптимізм
reassure заспокоїти
theirs їх
fulfill виконувати
portable портативний
contradiction протиріччя
import імпорт
cutting різання
psychiatric психіатричний
push тиснути
fourteen чотирнадцять
enthusiastic ентузіазм
modem модем
try спробуй
formally формально
concrete бетон
turkish турецька мова
electron електронний
damn чертовски
plug вилка
academy академія
precede передувати
supervision нагляд
precedent прецедент
verify перевірити
skillet сковорода
afterwards пізніше
altar вівтар
guardian опікун
passive пасивний
broth бульйон
stage етап
consultation консультація
lifelong протягом усього життя
underneath внизу
presume припустити
polish польський
legitimacy легітимність
miserable жалюгідний
shave голитись
neatly акуратно
primitive примітивний
worship поклоніння
tuition навчання
re-election переобрання
generator генератор
microwave мікрохвильова піч
monk монах
laptop ноутбук
filter фільтр
rebound відскок
maximize максимізувати
fund-raising збір коштів
inhabitant мешканець
sway колись
refusal відмова
mighty могутній
owl сова
artery артерія
baseline базовий рівень
ponder обмірковувати
uniform уніформа
exceptional винятковий
robbery грабіж
elevate піднімати
hedge хеджування
scan сканування
inhabit мешкати
insurer страховик
coordination координація
perch окунь
nickname псевдонім
controller контролер
whatsoever що б то не було
hug обійми
pyramid піраміда
lump одноразовий
pumpkin гарбуз
lethal смертельний
fix виправити
offset компенсувати
don дон
sausage ковбаса
mainland материк
shield щит
tap торкніться
lazy лінивий
photographic фотографічний
wedge клин
comparative порівняльний
contempt презирство
zoo зоопарк
foremost перш за все
decrease зменшення
decisive вирішальний
arch арка
dash тире
map карта
boost прискорити
blur розмити
breed порода
oddly дивно
elk лося
unemployed безробітний
bacon бекон
fit придатний
continuity безперервність
wrap обернути
water вода
low-income низький дохід
astronomy астрономія
inflict заподіяти
occupational професійний
conflicting суперечливий
keen гострий
knock стукати
type тип
messenger посланник
contention суперечка
velocity швидкість
opposing протиставляючи
spontaneous спонтанний
blouse блузка
flock стадо
rigorous суворий
definitive остаточний
radical радикальний
goddess богиня
deter стримувати
embryo ембріон
violin скрипка
stream потік
oblige зобов'язувати
loved любив
modeling моделювання
alpha альфа
landlord орендодавець
implicit неявний
fetch принеси
environmentally екологічно
four-year чотирирічний
charitable благодійний
discriminate дискримінувати
multicultural мультикультурний
bass бас
coconut кокосовий горіх
erode розмити
beverage напій
indulge насолоджуватися
answering відповідати
infinite нескінченний
bilateral двосторонніх
enrich збагатити
clown клоун
adolescence юнацький вік
destine судити
loosely вільно
instability нестабільність
projected проектований
fax факс
comic комікс
certified сертифікований
expel вигнати
extensively широко
kidnap викрадай
closing закриття
draw малювати
grilled на грилі
appealing привабливий
lure заманювати
blunt тупий
hue відтінок
ambiguous неоднозначне
hybrid гібрид
glide ковзати
invariably незмінно
scout розвідник
spy шпигун
someplace десь
ethic етика
designated призначений
consolidate консолідувати
affluent заможний
tangible відчутний
plug вилка
beetle жук
civilized цивілізований
sweetheart кохана
stolen вкрадений
felony злочин
split розкол
throne трон
fingerprint відбиток пальців
sideline бічна сторона
mankind людство
showcase вітрина
traumatic травматичний
pakistani пакистанські
openness відкритість
pancake млинець
voluntarily добровільно
pollutant забруднювач
dine обідати
mediate посередник
cram кинути
negatively негативно
arsenal арсенал
alumnus випускник
pull тягнути
sleepy сонний
roadside на узбіччі дороги
charcoal деревне вугілля
cautiously обережно
extreme крайній
gi gi
eighty вісімдесят
yacht яхта
topple скинути
subsidiary дочірнє підприємство
roman римський
real-life справжнє життя
sprawling розростається
rubble щебінь
outdoors на відкритому повітрі
compliment комплімент
shorten скоротити
collide зіткнутися
oneself сам
vent вентиляція
peril небезпека
peak пік
patrol патруль
amateur любитель
parliamentary парламентська
lease оренда
allowance допомога
low-fat нежирний
implicate припустити
adore обожнюй
dove голубка
paid оплачений
trained навчений
orderly упорядкований
culinary кулінарія
degradation деградація
asylum притулок
mount монтувати
bust бюст
underground під землею
thrust тяга
fireworks феєрверк
fiery вогненний
bluff блеф
hog свинячий
breach порушення
lecture лекція
recollection спогад
radioactive радіоактивний
grenade граната
regimen схема лікування
ordinance розпорядження
confide довіряти
node вузол
specially спеціально
bail під заставу
pastel пастель
jeopardize поставити під загрозу
pigeon голуб
meaningless безглуздо
prostitution проституція
inaugural інавгурація
cardiac серцевий
whirl вихор
cooler кулер
postmodern постмодерністський
successive послідовний
headlight фара
apron фартух
without без
face-to-face обличчям до обличчя
flap клапан
woe горе
imbalance дисбаланс
sandal сандалі
swimmer плавець
liberalism лібералізм
sculptor скульптор
trivial тривіальний
fines штрафи
cycling їздити на велосипеді
colon кишка
trooper військовий
hinder перешкоджати
alpine альпійський
hollow порожній
adaptive адаптивний
synthesis синтез
thyme чебрець
excursion екскурсія
sharpen загострити
impending наближення
mediation посередництво
thwart перешкоджати
cruelty жорстокість
recommended рекомендовано
hospitality гостинність
seriousness серйозність
eternity вічність
eligibility відповідність
lightweight легкий
footprint слід
downturn спад
muster збірка
knit в'язати
mildly м'яко
lash набряк
darken темніє
unpopular непопулярний
cock півень
rove блукав
consolidation консолідація
boycott бойкотувати
accustomed звик
delight радість
thread нитка
thickness товщина
drawback недолік
rival суперник
lighten полегшити
hemisphere півкуля
supernatural надприродний
coax коаксіальний
amenities вигоди
shake струсити
three-quarters три чверті
woo ву
spacious просторий
thou ти
visualize візуалізувати
deregulation дерегуляція
mythology міфологія
outweigh переважати
stylish стильний
refreshing освіжаючий
recorded записаний
dizzy запаморочення
brokerage брокерські послуги
buffer буфер
wrongdoing правопорушення
slipper тапочка
buddhist буддистський
baseman підземелля
graffiti графіті
clench стиснути
unanimous одностайний
zero нуль
contemporary сучасний
half-dozen півдюжини
rake граблі
longevity довговічність
recycled перероблений
kinship спорідненість
sweaty пітний
greedy жадібний
disparate розрізнений
admittedly за загальним визнанням
rash висип
orchestrate організувати
dye барвник
ancestral спадковий
long-range далекобійність
pajamas піжами
interruption переривання
mailbox поштова скринька
by-product побічний продукт
clone клон
knuckle кулак
shoulder плече
on-site на сайті
flash спалах
fireman пожежник
spiral спіраль
pioneer піонер
displacement зміщення
intuitive інтуїтивно зрозумілий
devastation спустошення
midday південь
indonesian індонезійська
comb гребінь
blindness сліпота
tolerant толерантний
hound собака
livelihood засоби до існування
amused веселився
handwriting почерк
outpost форпост
instinctively інстинктивно
curly кучеряве
hysterical істеричний
richness багатство
chic шикарний
advancing просування
brigade бригада
carton коробка
towering піднімається
crunch хруст
editing редагування
famously чудово
unnoticed непомітно
scurry сходити
networking мережа
satin атлас
posit позит
ordinarily звичайно
invasive інвазивний
losing програє
solving вирішення
unthinkable немислимо
misconception неправильне уявлення
fundamentalist фундаменталіст
commence почати
algae водорості
notch нот
dealership посередництво
locus локус
bony кістковий
compress стиснути
exempt звільнений від оподаткування
best-known найбільш відомі
ensue потягнути
promotional рекламний
robber розбійник
containment стримування
outburst вибух
plentiful багатий
foyer фойє
meager мізерний
breaking розбити
maritime морський
pollster опитувальник
soaring різко зростає
prominently виразно
precursor попередник
parachute парашут
grunt хрипнути
eclectic еклектичний
conspire змову
entice заманювати
swelling набряк
radiant променистий
checkpoint контрольно-пропускний пункт
authorization авторизація
grieve сумувати
coercion примус
visibly помітно
burden тягар
locale місцевість
manure гній
aggravate загострювати
rigor суворість
consulting консалтинг
discrete дискретний
enclosure корпус
revel веселитися
impaired порушено
unmistakable безпомилковий
videotape відеокліп
shimmering мерехтіння
vocation покликання
favored сприяли
altered змінений
skate кататися на ковзанах
psychiatry психіатрія
chromosome хромосома
chopper чоппер
rodent грызун
template шаблон
acquit виправдати
flowing тече
styling стиль
fed годували
imagined уявити собі
pickle маринувати
rectangle прямокутник
startled переляканий
stimulating стимулюючий
brutally жорстоко
coordinated скоординований
winding намотування
numerical числовий
venerable поважний
hungarian угорська мова
vain марно
giggle хихикати
intrude вторгнутися
modernism модернізм
dearly дорого
osteoporosis остеопороз
obsessive нав'язливий
accreditation акредитація
resurrection воскресіння
coastline берегова лінія
subtract відняти
hysteria істерія
slowdown уповільнення
disproportionate непропорційно
curricular навчальний план
portuguese португальська
eloquent красномовний
seedling розсада
underwater підводний
misfortune нещастя
beta бета-версія
headnote заголовок
audible чути
brilliantly блискуче
modernize модернізувати
trusted довірений
hardy витривалість
enlightened освічений
stat стат
incremental інкрементний
slate шифер
outright відверто
rendition передача
gritty грубий
melting танення
pride гордість
objectivity об'єктивність
makeover макіяж
junior молодший
rebate знижка
delineate окреслити
halfway на півдорозі
compact компактний
dynasty династія
blue-collar синій комір
rafter кряж
measured виміряний
reassurance запевнення
storefront вітрина
ornate вишуканий
cover-up приховати
pronouncement висловлювання
chute лоток
taunt засмучений
kindly люб'язно
cardboard картон
lore красуня
improbable неймовірно
caliber калібр
shortstop shortstop
worldly мирський
varsity місткість
unreliable ненадійний
attributable приписуваний
misdemeanor проступок
racing гонки
stated заявив
informative інформативний
spreading розповсюдження
routine рутина
accelerated прискорений
mindful пам'ятаю
genus род
jolt поштовх
regular регулярний
devout побожний
exporter експортер
wrong неправильно
hebrew іврит
breathless задишка
synthesize синтезувати
feeder фідер
jeep джип
hideous жахливий
watermelon кавун
moderation модерація
determining визначаючи
first-hand з перших рук
tilt нахил
syndicated синдикований
schoolchild школяр
reference довідка
treasurer скарбник
dagger кинджал
pink рожевий
prowess майстерність
hamstring суглоба
bristle щетина
fancy уява
padded полірований
misty туманний
reassuring заспокійливий
net нетто
biotech біотехнологія
onslaught натиск
antioxidant антиоксидант
blister блістер
salute вітаю
ignition запалювання
dementia слабоумство
allusion натяк
condone задовольняйся
cashier касир
diet дієта
gossip плітки
ethos етос
adamant адамант
high-rise висотний
hepatitis гепатит
bog болото
dummy манекен
trample топтати
wink підморгування
vulgar вульгарний
entourage антураж
janitor двірник
adversity несприятливість
ex-husband колишній чоловік
pool басейн
complement доповнювати
relieved звільнений
aw ава
rented орендований
offensive наступальний
phase фаза
tributary приплив
penchant схильність
thrash трэш
ploy прикраса
converse говорити
manifest маніфест
californian каліфорнійський
pretest попередній тест
ration раціон
lunchtime обідній час
vigilant пильно
disarmament роззброєння
troupe трупа
solo соло
lemonade лимонад
superstition забобони
squid кальмар
insensitive нечутливий
baltic прибалтика
threatened загрожує
bloodshed кровопролиття
reliably надійно
sinking занурення
subjectivity суб'єктивність
petite маленький
bounce відмов
squander розтратити
prematurely передчасно
ketchup кетчуп
dishwasher посудомийна машина
queer чудовий
perceptual перцептивний
tort делікатес
mayonnaise майонез
dreamer мрійник
aptly влучно
chilean чилійський
baffle перегородка
precipitation опади
heroism героїзм
guidebook путівник
disputed оскаржується
nutmeg мускатний горіх
tether прив'язі
forbidden заборонено
anterior передній
alaskan аляскан
mysteriously загадково
eschew уникати
uniqueness унікальність
carnival карнавал
ransom викуп
shuffling перемішування
infidelity невірність
scorn презирство
bunny кролика
exodus виїзд
bliss блаженство
incompetence некомпетентність
harp арфа
itch свербіж
processed оброблений
sequential послідовний
retaliate відповідь
ashtray попільничка
pervade пронизує
mythic міфічний
sexism сексизм
masked маскується
two-time дворазовий
patriot патріот
mammogram мамограма
onward далі
detached відокремлений
camouflage камуфляж
biomedical біомедичні
bent зігнутий
stagnant застій
solemnly урочисто
high-ranking високопоставлені
gull чайка
assured запевнив
lifeless безживний
polio поліомієліт
toughness в'язкість
strand нитка
concurrent одночасно
faithfully вірно
grotesque гротеск
sentencing винесення вироку
paved прокладено
indignation обурення
skillful вправний
raccoon єнот
gratification задоволення
boyhood хлопчик
concealed прихований
exertion напруга
craving тяга
sub-saharan на південь від сахари
engineered спроектований
immersion занурення
swallow проковтнути
limp лайка
abort скасувати
cramp судоми
exec виконувати
corrupt корумпований
unforgettable незабутній
aptitude атрибут
carnival карнавал
finalize завершити
post-cold після холоду
flickering мерехтіння
transgression переступ
floppy дискета
diving пірнання
propeller гвинт
tantrum тантум
escalation ескалація
hinge шарнір
gravitate тяжіти
influenza грип
tame приручений
bumpy невиразний
reintroduce відновити
vacate звільнитися
sheath піхви
jesuit єзуїт
forfeit позбавитись
nook ярмо
utensil посуд
pessimism песимізм
fluctuate коливаються
overcoat шинель
spam спам
idiom ідіома
uncomfortably незручно
vaginal вагінальний
mourner мірник
whiteness білість
diminishing зменшується
priesthood священство
spec спец
dramatize драматизувати
fondly приємно
algebra алгебра
pet домашня тварина
pitiful жалюгідний
appointed призначений
booty виграш
reflector відбивач
paraphrase перефразувати
shroud плащаниця
apocalyptic апокаліптичний
delegate делегувати
nonverbal невербальний
grazing випас худоби
high-pitched високошвидкісний
borderline кордон
damned проклятий
therein в них
proverb прислів'я
reuse повторне використання
quell затихнути
self-contained автономний
agitated збуджений
fast-growing швидко зростає
dutifully слухняно
recur повторитися
dissemination розповсюдження
home-grown доморощений
postulate постулат
miscarriage викидень
assembled зібраний
gymnasium гімназія
rave рейв
corner кут
lyrical ліричний
extremism екстремізм
embedded вбудований
feeding годування
appraise оцінити
assisted допомагав
stiffly жорстко
din дін
sister-in-law свекруха
covering покриття
writhe писати
instil привчити
multidimensional багатовимірний
urn урна
corrective виправлення
muck шуміти
increment приріст
abate зменшувати
coil катушка
father-in-law тестя
observance дотримання
colonize колонізувати
triple потрійний
pamper побалувати
procure закуповувати
geek гейк
dermatologist дерматолог
downhill під гору
haste поспішати
beset осілий
spade лопата
dislocation дислокація
honored честь
dispatcher диспетчер
chronological хронологічний
major-league майор-ліга
discreetly непристойно
hotline гаряча лінія
chasm безодня
prioritize визначити пріоритет
snowstorm бурі
australian австралійський
clipboard буфер обміну
confrontational конфронтаційна
much-needed дуже потрібний
gypsy циган
fluke флюкс
limitless безмежний
normalize нормалізувати
heavy-duty напружений режим
doctrinal доктринальний
porous пористий
screenwriter сценарист
forecaster прогнозувач
rot гнити
anatomical анатомічний
cooling охолодження
snowball сніжний ком
deflate дефляція
clatter тріпотіти
morphine морфін
coffer кавоварка
inverted перевернута
experiential досвідний
penetrating проникаючий
piping трубопроводи
jar банку
laud лауд
implore просити
typing набравши
abolition скасування
limelight освітлення
vet ветеринар
enlarged збільшений
snuggle притискати
norman норман
crunchy хрусткий
twenty-nine двадцять дев'ять
father батько
decision-maker той хто приймає рішення
maize кукурудза
keynote основна доповідь
dull нудний
emergent виникає
disband розігнати
painstakingly копітко
well добре
prior попередньо
precept настанови
mischievous пустотливий
one-hour одна година
frontline фронт
hammock гамак
fume паливо
urbanization урбанізація
glint проблиск
manipulative маніпулятивний
oddity дивацтва
patty пасти
retrieval вилучення
zip zip
negligent недбалість
half-century півстоліття
deepening поглиблення
issuer емітент
sherry херес
tailored адаптований
warp деформація
remediation відновлення
filibuster філібустр
foothold кріпитися
gamut гамма
extortion вимагання
cranky кричущий
beaded бісером
course звичайно
goddamned проклятий
felt відчував
prank прискорити
anglican англіканець
prodigious чудовий
caviar ікра
lying лежачий
repeal скасувати
nameless безіменний
squash сквош
enigma загадка
entangle втягнути
terminally терміново
long-lasting тривалий
overreact надмірно реагувати
airlock шлюз
ingest проковтнути
stammer зупинка
liking подобається
monograph монографія
fiber-optic волоконно-оптичні
rupture розрив
affectionately лагідно
squatter скваттер
pleasurable приємно
snip сніп
chastise карати
saline фізіологічний розчин
refreshment закуска
barbecue барбекю
insecticide інсектицид
forty-eight сорок вісім
chicken курка
flit фліт
neurotic невротичний
childbearing дітородний
sound звук
trailing задній
reek рейк
fatherhood батьківство
penthouse пентхаус
displeasure невдоволення
invalidate визнати недійсним
overthrow повалити
exquisitely вишукано
inextricably нерозривно
feverish гарячковий
format формат
crucifix розп'яття
lengthwise по довжині
private приватний
tenacious наполегливий
rotating обертається
vogue мода
ranked займає місце
edifice будівля
five-day п'ять днів
trusting довіряю
pullout витягнути
intone інтоне
icing обмерзання
hoard накопичення
nordic північний
stagnation стагнація
additive добавки
mainframe мейнфрейм
discouraging заважає
howling вигулювати
throb пульсація
walleye walleye
concomitant супутній
grading класифікація
landscape ландшафт
emblematic символічний
extravaganza феєрія
marketable товарний
masonry кладка
anti анти
besiege осадити
opportunistic опортуністичний
multi-party багатопартійний
eatery закусочна
severance розірваність
incinerator сміттєспалювальний завод
strident стриманий
hiv-positive віл-позитивний
patriarchy патріархат
revolutionary революційний
steely круто
reflected відбитий
sonnet сонет
first-ever перший в історії
payer платник
dismount знімати
nectar нектар
denigrate зневажати
wrest вирватися
cleanliness чистота
musket мушкет
euphemism евфемізм
refurbish реконструювати
pueblo пуебло
non-native не рідний
cleat кліт
warped деформований
tantamount рівнозначний
inferiority неповноцінність
palsy параліч
subsume підібрати
forthright прямо
prey видобуток
woodwork деревообробка
anguished страждає
incubator інкубатор
depreciation амортизація
cyst кіста
turnip ріпа
enticing заманюючи
wart бородавка
exhort просимо
slider слайдер
charged стягується
breakout прорив
condensation конденсація
intolerant нетерпимий
mousse мус
bluegrass блюграс
libel наклеп
sworn присягнув
grisly жахливо
vaccinate вакцинувати
drunk п'яний
legalization легалізація
defunct неіснуючий
onerous обтяжливий
exacting вимогливий
good-natured добродушний
entanglement заплутаність
cowardly боягузливо
sculpted скульптурний
relent змиритися
urchin їжак
rambling бігливий
breezy вітряний
well-to-do добра справа
compatriot співвітчизник
regent регент
pre-dawn до заходу сонця
furor фурор
chloride хлорид
ballerina балерина
steadfast стійкий
drone дурень
homogeneity однорідність
stubby тупий
hunker бункер
sensuous чуттєвий
bulkhead перегородка
grown вирощений
tendril шипшина
gleefully радісно
circuitry схеми
renegotiate переговорити
collecting збирати
sultry спекотний
mosaic мозаїка
attitudinal ставлення
labor-intensive трудомісткий
stacked укладено
bluff блеф
sampler семплер
great-grandfather чудовий дідусь
canine собака
ire іре
nine-year-old дев'ятирічний
clearing очищення
t-test t-тест
premier прем'єр-міністр
cordless бездротовий
steeply круто
poise візьми
ideologue ідеолог
top-down з верху до низу
mm мм
ruefully судорожно
soundly здорово
insurmountable непереборний
silt мул
coursework курсова робота
pruning обрізка
margarita маргарита
cloak плащ
aural звуковий
somali сомалі
concise лаконічний
boisterous бурхливий
stand-alone самостійний
dryly сухий
protectionism протекціонізм
nanotechnology нанотехнології
sellout продавати
smartly спритно
molding лиття
nautical морський
stipulation обумовленість
hookup підключення
subsystem підсистема
telecom телекомунікація
layman мирянин
bottom дно
subtext підтекст
incoherent некогерентний
jettison затока
observant спостережний
wild дикий
unintentionally ненавмисно
tracker трекер
bequeath заповідати
disingenuous нерозумно
hydroelectric гідроелектростанція
sweetener підсолоджувач
curbside бордюр
harbinger провісник
patronize покровительствовать
at-large на волі
self-consciously самосвідомості
vindication виправдання
trapped в пастці
affront ображати
airspace повітряний простір
hated ненавидіти
shuttered облицьований
sauna сауна
diagonally по діагоналі
downstairs внизу
citywide загальноміський
confectioner кондитер
stratosphere стратосфера
rundown спуститися
fourth-quarter четверта чверть
preventable можна запобігти
sounding звучання
vernacular народний
hallowed освячений
denunciation денонсація
leveraged залучена
electrify електрифікувати
modulate модулювати
firefly светлячка
all-important все важливо
slugger слюняк
aesthetically естетично
fondle ласкати
carelessly недбало
sober тверезий
categorically категорично
